name	observer	group	date	lat	lon	color	radius	details	label
1	pts1	PTS	Paul 7/20	2020-07-24	47.523854	-121.467958	orange	8	http://pshannon.net/swordFerns/snoq/pts1.html	pts1
2	pts2	PTS	Paul 7/20	2020-07-24	47.523592	-121.467532	orange	8	http://pshannon.net/swordFerns/snoq/pts2.html	pts2
3	pts3	PTS	Paul 7/20	2020-07-24	47.523004	-121.466989	orange	8	http://pshannon.net/swordFerns/snoq/pts3.html	pts3
4	pts4	PTS	Paul 7/20	2020-07-24	47.523685	-121.467216	orange	8	http://pshannon.net/swordFerns/snoq/pts4.html	pts4
5	pts5	PTS	Paul 7/20	2020-07-24	47.523292	-121.468391	orange	8	http://pshannon.net/swordFerns/snoq/pts5.html	pts5
6	pts6	PTS	Paul 7/20	2020-07-24	47.546791	-121.522559	orange	8	http://pshannon.net/swordFerns/snoq/pts6.html	pts6
7	cgm1	CGM	Caleb 6/19	2019-06-26	47.55527	-121.53273	red	5	http://pshannon.net/swordFerns/snoq/cgm1.html	cgm1
8	cgm2	CGM	Caleb 6/19	2019-06-26	47.54674	-121.52263	red	5	http://pshannon.net/swordFerns/snoq/cgm2.html	cgm2
9	cgm3	CGM	Caleb 6/19	2019-06-26	47.53844	-121.50508	red	5	http://pshannon.net/swordFerns/snoq/cgm3.html	cgm3
10	cgm4	CGM	Caleb 6/19	2019-06-26	47.53503	-121.48388	red	5	http://pshannon.net/swordFerns/snoq/cgm4.html	cgm4
11	cgm5	CGM	Caleb 6/19	2019-06-26	47.52351	-121.46752	red	5	http://pshannon.net/swordFerns/snoq/cgm5.html	cgm5
