binomial	common	symbol	planted	obs.2020.05.16	obs.2021.05.29	percentSurvival	notes
Abies grandis	grand fir	abgr	5	0	1	20	
Acer circinatum	vine maple	acci	20	6	5	25	3/5 barely surviving
Alnus rubra	red alder	alru	10	3	3	30	
Berberis nervosa	oregon grape	bene	50	3	0	0	
Cornus nuttallii	pacific dogwood	conu	5	0	0	0	
Corylus cornuta var californica	beaked hazelnut	coco	20	6	7	35	
Gaulternia shallon	salal	 gash	50	0	0	0	
Oemleria cerasiformis	indian plum	oece	50	6	24	48	
Rosa gymnocarpa	baldhip rose	rogy	20	11	13	65	
Salix scoulerianna	scouler willow	sasc	5	0	0	0	
Symphoricarpos albus var laevigtatus	snowberry 	syal	40	40	45	112	strong survivors, extra 5 plants a mystery
Taxus brevifolia	pacific yew	tabr	5	0	0	0	
Tiarella trifoliata var trifoliata	foamflower	titr	50	0	0	0	
Tsuga heterophylla	hemlock	tshe	10	6	8	80	
Vaccinatum ovatum	huckleberry	vaov	50	32	36	72	
Holodiscus discolor	ocean spray	hodi	10	9	6	60	
