# id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,observer,wpDamage,canopy,dfAssoc,comments
id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,comments,wp,canopy,dfAssociated,observer
2021-001,47.558333,-122.250825,10.5,0,1.5,3,NA,NA,2021-07-05,,NA,NA,NA,pshannon
2021-002,47.55855,-122.25139,10,0,3,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-003,47.558316,-122.250828,35,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-004,47.55785,-122.25077,8,0,0,1.5,NA,NA,2021-07-14,,NA,NA,NA,all
2021-005,47.557763,-122.250862,12,0,0,0,NA,NA,2021-07-14,,NA,NA,NA,all
2021-006,47.55779,-122.250823,27,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-007,47.55788,-122.25083,22,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-008,47.557862,-122.250839,31,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-009,47.557847,-122.250935,6,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-010,47.55812,-122.25134,4,0,1.5,3,NA,NA,2021-07-14,,NA,NA,NA,all
2021-014,47.55804,-122.25145,15,0,0,1.5,NA,NA,2021-07-15,left;smaller of pair,NA,NA,NA,all
2021-015,47.55792,-122.25169,19,0,1.5,3,NA,NA,2021-07-15,left;larger of pair,NA,NA,NA,all
2021-016,47.55784,-122.25197,3,3,3,3,NA,NA,2021-07-15,southernmost of 3 small trees stradling or in old DF stump,NA,NA,NA,all
2021-017,47.55786,-122.25196,5,3,3,3,NA,NA,2021-07-15,center of 3 small trees (also  16 and 18),NA,NA,NA,all
2021-018,47.55788,-122.25195,3,3,3,3,NA,NA,2021-07-15,northeast of the 3 small trees,NA,NA,NA,all
2021-019,47.55796,-122.25182,2,1.5,3,3,NA,NA,2021-07-15,small tree just north of 7/15 southernmost tree;shows disease,NA,NA,NA,all
2021-025,47.55797,-122.2514,2,3,3,3,NA,NA,2021-07-19,,NA,NA,NA,all
2021-026,47.5577,-122.25167,46,1.5,0,0,NA,NA,2021-07-19,,NA,NA,NA,pshannon
2021-027,47.55772,-122.25148,10,1.5,3,3,NA,NA,2021-07-19,,NA,NA,NA,all
