id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,observer,wpDamage,canopy,dfAssoc,comments
5044,47.5554930,-122.2506934,5,1.5,3,3,225,5,2024-03-09,nate,0,False,True,growing from base of doug fir
5045,47.5555305, -122.2508835,14,3,3,3,270,5,2024-03-09,nate,0,False,False,
5046,47.5561652, -122.2515377,21,NA,2,3,240,10,2024-03-09,nate,0,False,False,
5047,47.5561505, -122.2518820,4,3,3,3,250,5,2024-03-09,nate,0,False,False,
5048,47.5559819, -122.2519843,40,NA,2.5,3,200,10,2024-03-09,nate,0,False,False,
5049,47.5569859, -122.2508410,16,NA,1.5,2.5,245,5,2024-03-09,nate,0,True,False,
5050,47.5570730, -122.2505473,3,1,2,2,50,15,2024-03-09,nate,0,False,False,
5051,47.5570379, -122.2507934,5,1,1.5,2.5,75,5,2024-03-09,nate,0,False,False,
5052,47.5571863, -122.2507645,51,NA,3,3,100,10,2024-03-09,nate,0,True,False,
5053,47.5574753, -122.2508601,7,NA,3,3,275,5,2024-03-09,nate,0,False,False,
5054,47.5574970, -122.2508396,7,NA,3,3,300,5,2024-03-09,nate,0,False,False,
5055,47.5575165, -122.2508346,4,2.5,3,3,290,5,2024-03-09,nate,0,False,False,
5056,47.5574793, -122.2506522,8,3,3,3,100,10,2024-03-09,nate,0,False,False,
5057,47.5574603, -122.2506170,11,3,3,3,100,15,2024-03-09,nate,0,False,False,
5058,47.5575993, -122.2506381,44,NA,3,3,100,5,2024-03-09,nate,0,True,False,
5059,47.5576871, -122.2507069,45,0,0,0,75,5,2024-03-09,nate,3,True,False,big and dead; check wpDamage number
5060,47.5577140, -122.2506408,8,3,3,3,100,5,2024-03-09,nate,0,False,False,
5061,47.5577137, -122.2506147,6,3,3,3,120,5,2024-03-09,nate,0,False,False,
5062,47.5577242, -122.2505969,3,3,3,3,80,5,2024-03-09,nate,0,False,False,
5063,47.5578696, -122.2505908,36,0,0,0,345,0,2024-03-09,nate,3,True,False,big dead snag; check wpDamage number
5064,47.5578712, -122.2505268,32,0,0,0,120,0,2024-03-09,nate,3,True,False,big dead snag
5065,47.5577031, -122.2503474,10,3,3,3,115,10,2024-03-09,nate,0,False,False,
5066,47.5576065, -122.2504074,5,3,3,3,125,5,2024-03-09,nate,0,False,False,
