id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,observer,wpDamage,canopy,dfAssoc,comments
1,47.560123,-122.252269,36,NA,0,0,-1,-1,2024-01-18,muwei,5,False,False,snag; heavy woodpecker damage; yellow and brown moss up high
2,47.560078,-122.251997,22,NA,2,3,-1,-1,2024-01-18,muwei,0,False,False,middle section has only a few good branches
3,47.560222,-122.251542,30,NA,0,1,-1,-1,2024-01-18,muwei,0,False,False,
4,47.560238,-122.251492,27,1,1,2,300,10,2024-01-20,muwei,0,False,False,
5,47.560243,-122.251862,25,NA,0,0,250,15,2024-01-20,eric,0,False,False,40 foot snag; NW of trail junction; surrounded by salal; evidence of woodpeckers
6,47.560185,-122.251651,31,NA,0,2,275,20,2024-01-20,nate,0,False,False,
7,47.560467,-122.252022,31,NA,0,1,300,10,2024-01-20,muwei,0,False,False,
8,47.560378,-122.252334,30,NA,0,0,NA,0,2024-01-20,muwei,0,False,False,
9,47.560608,-122.252472,23,0,0,0,300,5,2024-01-20,muwei,0,False,False,
10,47.559978,-122.252067,31,0,2,3,300,15,2024-01-20,muwei,0,False,False,
11,47.559773,-122.252059,30,NA,0,0,300,12,2024-01-20,muwei,0,False,False,many small branches and cones; no needles; probably died last year
12,47.560333,-122.251901,22,0,0,0,270,25,2024-01-23,muwei,0,False,False,8 foot snag
13,47.560467,-122.251817,32,NA,0,NA,270,25,2024-01-23,muwei,0,False,False,30 foot snag;recently died
14,47.560448,-122.251568,29,NA,0,1.5,NA,0,2024-01-23,paul,0,False,False,
15,47.560488,-122.251607,36,0,0,2.5,60,15,2024-01-23,muwei,0,False,False,lower branches all died very recently
16,47.560403,-122.251734,25,NA,NA,1.5,300,5,2024-01-23,muwei,0,False,False,
17,47.560188,-122.251562,27,NA,0,2,300,5,2024-01-23,muwei,0,False,False,
18,47.560375,-122.251474,13,NA,0,0,300,5,2024-01-23,muwei,0,False,False,recently fallen tree - hollow near base
19,47.56025,-122.251192,21,NA,NA,0,300,5,2024-01-23,muwei,0,False,False,50 foot snag
20,47.560494,-122.251414,5,0,0,0,300,10,2024-01-23,muwei,0,False,False,three small trees close together
21,47.560498,-122.251418,5,0,0,0,300,10,2024-01-23,muwei,0,False,False,three small trees close together
22,47.560493,-122.251419,5,NA,0,0,300,10,2024-01-23,muwei,0,False,False,three small trees close together
23,47.560642,-122.251534,2.5,0,0,0,NA,0,2024-01-23,muwei,0,False,False,10 feet tall; pair of trees touching at base
24,47.56064,-122.251532,1.5,0,0,3,NA,0,2024-01-23,muwei,0,False,False,7 feet tall; pair of trees touching at base
