id,lat,lon,dbh,h1,h2,h3,h,wpDamage,canopy,dfAssoc,aspect,slope,date,comments,observer,loc
1,47.560123,-122.252269,36,NA,0,0,0,5,False,False,-1,-1,2024-01-18,snag; heavy woodpecker damage; yellow and brown moss up high,muwei,graveyard
2,47.560078,-122.251997,22,NA,2,3,3,0,False,False,-1,-1,2024-01-18,middle section has only a few good branches,muwei,graveyard
3,47.560222,-122.251542,30,NA,0,1,0.5,2,False,False,-1,-1,2024-01-18,,muwei,graveyard
4,47.560238,-122.251492,27,1,1,2,1.33,1,False,False,300,10,2024-01-20,,muwei,graveyard
5,47.560243,-122.251862,25,NA,0,0,0,4,False,False,250,15,2024-01-20,40 foot snag; NW of trail junction; surrounded by salal; evidence of woodpeckers,eric,graveyard
6,47.560185,-122.251651,31,NA,0,2,1,0,False,False,275,20,2024-01-20,,nate,graveyard
7,47.560467,-122.252022,31,NA,0,1,0.5,0,False,False,300,10,2024-01-20,,muwei,graveyard
8,47.560378,-122.252334,30,NA,0,0,0,0,False,False,NA,0,2024-01-20,,muwei,graveyard
9,47.560608,-122.252472,23,0,0,0,0,0,False,False,300,5,2024-01-20,,muwei,none
10,47.559978,-122.252067,31,0,2,3,2,0,False,False,300,15,2024-01-20,,muwei,graveyard
11,47.559773,-122.252059,30,NA,0,0,0,0,False,False,300,12,2024-01-20,many small branches and cones; no needles; probably died last year,muwei,graveyard
12,47.560333,-122.251901,22,0,0,0,0,0,False,False,270,25,2024-01-23,8 foot snag,muwei,graveyard
13,47.560467,-122.251817,32,NA,0,NA,0,0,False,False,270,25,2024-01-23,30 foot snag;recently died,muwei,graveyard
14,47.560448,-122.251568,29,NA,0,1.5,0.75,0,False,False,NA,0,2024-01-23,,paul,graveyard
15,47.560488,-122.251607,36,0,0,2.5,1.17,0,False,False,60,15,2024-01-23,lower branches all died very recently,muwei,graveyard
16,47.560403,-122.251734,25,NA,NA,1.5,1.5,0,False,False,300,5,2024-01-23,,muwei,graveyard
17,47.560188,-122.251562,27,NA,0,2,1,0,False,False,300,5,2024-01-23,,muwei,graveyard
18,47.560375,-122.251474,13,NA,0,0,0,0,False,False,300,5,2024-01-23,recently fallen tree - hollow near base,muwei,graveyard
19,47.56025,-122.251192,21,NA,NA,0,0,0,False,False,300,5,2024-01-23,50 foot snag,muwei,graveyard
20,47.560494,-122.251414,5,0,0,0,0,0,False,False,300,10,2024-01-23,three small trees close together,muwei,graveyard
21,47.560498,-122.251418,5,0,0,0,0,0,False,False,300,10,2024-01-23,three small trees close together,muwei,graveyard
22,47.560493,-122.251419,5,NA,0,0,0,0,False,False,300,10,2024-01-23,three small trees close together,muwei,graveyard
23,47.560642,-122.251534,2.5,0,0,0,0,0,False,False,NA,0,2024-01-23,10 feet tall; pair of trees touching at base,muwei,graveyard
24,47.56064,-122.251532,1.5,0,0,3,1,0,False,False,NA,0,2024-01-23,7 feet tall; pair of trees touching at base,muwei,graveyard
25,47.559663,-122.252157,6,2.5,1,3,2.17,0,False,False,360,10,2024-01-23,two large healthy branches protrude 6 feet from the ground (hard to decide if that’s the bottom or the middle part) but other branches in the middle part are all dead,muwei,graveyard
26,47.559535,-122.252431,29,NA,2,3,3,0,False,False,270,10,2024-01-23,,muwei,graveyard
27,47.559587,-122.252481,9,NA,1,0,0.5,0,False,False,360,5,2024-01-23,only 1 living branch about 20 feet high halfway up; crown dead,muwei,graveyard
28,47.560082,-122.252524,34,0.5,1.24,2,1.25,0,False,False,290,5,2024-01-28,,eric,graveyard
29,47.559895,-122.252509,25,NA,NA,0,0,0,False,False,320,5,2024-01-28,snag 14 feet tall,eric,graveyard
30,47.559737,-122.252634,30,1.5,3,3,2.83,0,False,False,340,10,2024-01-28,lichen and moss near the bottom; moss and needles adjacent on the same branch,eric,graveyard
31,47.559842,-122.252709,5,0,0.5,2,0.83,0,False,False,340,10,2024-01-28,top is sparse but looks healthy,eric,graveyard
32,47.559772,-122.252986,18,0,0,0,0,0,False,False,340,10,2024-01-28,fallen tree; root failure; very healthy branches near top but fell over,eric,graveyard
33,47.559547,-122.253046,28,0,0.5,1,0.5,0,False,False,340,5,2024-01-28,,eric,none
34,47.559607,-122.252684,9,0,0,0,0,0,False,False,340,10,2024-01-28,four foot snag,eric,graveyard
35,47.559563,-122.252702,11,NA,NA,0,0,0,False,False,340,10,2024-01-28,six foot snag,eric,graveyard
36,47.559548,-122.252695,26,NA,0,1.5,0.75,0,False,False,340,5,2024-01-28,,eric,graveyard
38,47.559439,-122.252669,16,NA,NA,0,0,0,False,False,340,5,2024-01-28,fallen tree; no healthy branches,eric,graveyard
39,47.55971,-122.252607,17,0,0.5,1.5,0.67,0,False,False,340,10,2024-01-28,,eric,graveyard
40,47.559832,-122.252581,26,2,0.5,3,2.17,0,False,False,340,5,2024-01-28,two healthy branches near the bottom,eric,graveyard
41,47.5598,-122.252619,30,NA,NA,0,0,0,False,False,340,5,2024-01-28,18 foot snag,eric,graveyard
42,47.55939,-122.252659,21,NA,NA,0,0,0,False,False,310,5,2024-01-28,log,eric,graveyard
43,47.559363,-122.252692,16,0,0,0.5,0.17,0,False,False,310,5,2024-01-28,,eric,graveyard
44,47.559378,-122.252752,12,1,0.5,1.75,1.08,0,False,False,310,5,2024-01-28,,eric,graveyard
45,47.55925,-122.252552,21,0,0,0,0,3,True,False,330,5,2024-01-28,20 foot snag,tareq,graveyard
46,47.559288,-122.252642,16,0,0,0,0,0,False,False,340,5,2024-01-28,,tareq,graveyard
47,47.5592455,-122.2528781,18,0,0,0,0,1,False,False,330,5,2024-02-20,30 ft snag,muwei,graveyard
48,47.55929,-122.252406,15,0,0,0,0,0,True,False,330,10,2024-01-28,,tareq,graveyard
49,47.559259,-122.252577,27,0.5,1.5,3,2,0,True,False,330,10,2024-01-28,,tareq,graveyard
50,47.559053,-122.252719,15,NA,0,0,0,0,False,False,32,5,2024-01-28,,tareq,graveyard
51,47.558815,-122.252537,15,2.5,3,3,2.83,0,False,False,315,10,2024-01-28,,tareq,graveyard
52,47.558812,-122.252441,22,1.75,2.5,3,2.75,0,False,False,310,15,2024-01-28,,tareq,graveyard
53,47.558773,-122.252066,5,0,0,3,1,0,False,False,347,5,2024-01-28,,tareq,graveyard
54,47.558837,-122.251984,35,1.25,1.75,3,2.33,0,False,False,0,5,2024-01-28,,tareq,graveyard
55,47.559533,-122.251811,29,0,0,2,0.67,0,True,False,300,15,2024-01-30,wp 0,paul,graveyard
56,47.559578,-122.251701,20,NA,1,3,2.5,0,True,False,300,10,2024-01-30,wp 0,paul,graveyard
57,47.559628,-122.251714,29,0,1,2,1,0,True,False,330,15,2024-01-30,wp 0; 8 ft from 56 nearly due north; dead mole at base,paul,graveyard
58,47.559792,-122.252301,23,NA,NA,3,4,0,False,False,320,15,2024-01-30,looks like a lollipop,paul,graveyard
59,47.55979,-122.252394,40,0,1,2.5,1.5,0,False,False,300,10,2024-01-30,;tape is on hazelnut branch one ft southwest,paul,graveyard
60,47.55969,-122.251916,25,0,0,0,0,5,False,False,270,10,2024-01-30,12 ft snag; apparently long dead,paul,graveyard
61,47.559488,-122.251839,2,0,1.5,1.5,1,0,False,False,300,5,2024-01-30,wp 0; top healthy branch cleaved off; on ground; would have raised score, paul,graveyard
62,47.559373,-122.251856,5,0,1,2,1,0,False,False,300,10,2024-01-30,,muwei,graveyard
63,47.559368,-122.251779,4,0,0,0,0,0,False,False,270,15,2024-01-30,,muwei,graveyard
64,47.559382,-122.251671,7,0,1,2,1,0,False,False,300,5,2024-01-30,,muwei,graveyard
65,47.559342,-122.251789,9,0,0,0,0,0,False,False,300,10,2024-01-30,thrown off from the root, muwei,graveyard
66,47.559487,-122.252597,3.5,1,2,2.5,1.83,0,False,True,300,10,2024-01-30,,muwei,graveyard
67,47.559477,-122.252587,2,2,2,1.4,1.8,0,False,True,300,10,2024-01-30,,muwei,graveyard
68,47.559452,-122.251594,4,0,2,3,1.67,0,False,True,300,5,2024-01-30,,muwei,graveyard
69,47.55945,-122.25149,5,0,0,0,0,0,False,False,300,10,2024-01-30,wp 0,muwei,graveyard
70,47.559405,-122.251426,2,0,0,0,0,0,False,True,300,10,2024-01-30,,muwei,graveyard
71,47.559043,-122.251384,5,0,0,0,0,0,False,False,300,15,2024-01-30,,muwei,graveyard
72,47.559983,-122.251934,1,2.5,3,3,2.83,0,False,False,330,20,2024-01-30,sapling 5 ft high,muwei,graveyard
73,47.55953,-122.25157,32,0.5,0,1.5,0.67,1,False,False,350,4,2024-02-03,,eric,graveyard
74,47.559173,-122.251279,18,1.5,2.5,3,2.67,0,False,False,350,5,2024-02-03,,eric,graveyard
75,47.559097,-122.251054,20,0,0,0,0,2,False,False,30,5,2024-02-03,,eric,graveyard
76,47.5588156,-122.2509811,17,0,0,0.25,0.08,2,False,False,340,15,2024-02-03,,eric,none
77,47.5589267,-122.2510934,6,0,0,0,0,0,False,False,350,15,2024-02-03,,eric,graveyard
78,47.5589317,-122.2511134,7,NA,1.5,2.5,2,0,False,False,350,15,2024-02-03,,eric,graveyard
79,47.558702,-122.251267,15,2,0,3,1.67,0,False,False,20,0,2024-02-03,loss of bottom branches may be from breaking into the canopy,eric,none
80,47.558688,-122.251342,6,0,2.5,3,1.83,0,False,False,350,15,2024-02-03,,eric,none
81,47.558637,-122.250769,6,1,2,3,2,0,False,False,10,5,2024-02-03,,eric,none
82,47.558712,-122.250997,5,NA,3,3,3,0,False,True,20,5,2024-02-03,grows out of the root of a fallen log,eric,none
83,47.5587247,-122.251077,5,0,2,3,1.67,0,False,False,350,10,2024-02-03,,eric,none
84,47.5588591,-122.2512436,31,0,0,0,0,3,False,False,330,5,2024-02-03,,eric,graveyard
85,47.555398,-122.250372,1,3,3,3,3,0,False,False,340,4,2024-02-03,four feet tall; almost flat,paul,garden
86,47.5552,-122.250252,4,1.5,2.5,3,2.33,0,False,True,330,5,2024-02-03,scaly bark; extensive browning of still intact needles in middle south,paul,garden
87,47.5553,-122.250282,1,1.5,3,3,2.5,0,False,True,330,5,2024-02-03,as with 86 growing out of doug fir stump and with some brown needles,paul,garden
88,47.555323,-122.250406,3,3,3,3,3,0,False,True,NA,0,2024-02-03,20 foot fallen healthy intact tree used to be a nurse sapling,paul,garden
89,47.555333,-122.250179,3,2.5,3,3,2.83,0,False,True,330,5,2024-02-03,some HWA,paul,garden
90,47.555305,-122.250079,17,2,1.25,2.75,2.33,0,True,False,355,5,2024-02-03,one good sw facing branch to ground; two equal trunks from 26 feet,paul,garden
91,47.555288,-122.250066,15,2.5,3,3,2.83,0,False,False,335,5,2024-02-03,slight brown needles at north bottom,paul,garden
92,47.555497,-122.249897,2,NA,1,3,2,0,False,False,330,20,2024-02-03,odd shape; lowest branch largely diseased,paul,garden
93,47.555372,-122.249792,4,0,1.5,3,1.5,0,False,False,330,10,2024-02-03,,paul,garden
94,47.555422,-122.249784,6,0,1.5,2,1.17,0,False,False,350,20,2024-02-04,,eric,garden
95,47.55548,-122.249816,9,0.75,0.5,0.25,0.5,0,False,False,350,20,2024-02-04,,eric,garden
96,47.555492,-122.249754,5,0,2.5,1.5,1.33,0,False,False,350,25,2024-02-04,,eric,garden
97,47.555172,-122.249507,29,NA,NA,3,4,0,True,False,20,5,2024-02-04,,eric,garden
98,47.55517,-122.249579,30,0,0,0,0,3,True,False,20,7,2024-02-04,7 feet tall,eric,garden
100,47.555138,-122.24973,30,2.5,NA,3,3.25,0,True,False,20,4,2024-02-04,,eric,garden
101,47.554735,-122.249494,12,2.5,3,3,2.83,0,False,False,90,5,2024-02-04,,eric,garden
102,47.554927,-122.24922,18,1.5,3,3,2.83,0,True,False,40,10,2024-02-04,,eric,garden
103,47.554932,-122.249292,32,NA,1.5,2.25,2.38,0,True,False,40,10,2024-02-04,,eric,garden
104,47.554948,-122.249847,20,0,0,0,0,1,True,False,40,5,2024-02-04,55 foot snag,eric,garden
105,47.554815,-122.24949,2,2,2,3,2.33,0,False,False,40,5,2024-02-04,,eric,garden
106,47.554903,-122.249736,36,NA,1,2.5,2.25,0,True,False,70,5,2024-02-04,,eric,garden
107,47.55493,-122.249762,4,0.25,1.75,2.75,1.58,0,False,False,60,5,2024-02-04,,eric,garden
108,47.554803,-122.249697,3,0,1,2.5,1.17,0,False,False,60,5,2024-02-04,,eric,garden
109,47.554855,-122.249749,3,0,0,2.5,0.83,0,False,False,60,5,2024-02-04,,eric,garden
110,47.55482,-122.249656,4,0.5,1.75,3,1.75,0,False,False,60,5,2024-02-04,,eric,garden
111,47.55483,-122.249852,3,NA,0,0,0,0,False,False,60,5,2024-02-04,,eric,garden
112,47.55504,-122.249887,6,1,3,3,2.33,0,False,False,60,5,2024-02-04,,eric,garden
113,47.555019,-122.249892,7,1.25,2.5,3,2.25,0,False,False,60,5,2024-02-04,,eric,garden
114,47.55497,-122.249937,6,1,1.5,3,1.83,0,False,False,69,5,2024-02-04,,eric,garden
115,47.555189,-122.249961,9,0.5,3,3,2.17,0,True,False,60,5,2024-02-04,,eric,garden
116,47.555218,-122.249954,3,0,0.5,2,0.83,0,False,False,60,5,2024-02-04,,eric,garden
117,47.55456,-122.24922,9,3,3,3,3,0,False,False,100,10,2024-02-10,growing out of a doug-fir stump;,eric,garden
118,47.55489,-122.24936,23,NA,NA,1.5,1.5,0,True,False,90,5,2024-02-10,,eric,garden
119,47.55491,-122.24934,22,1.5,1.75,2,1.75,0,False,False,90,5,2024-02-10,,eric,garden
120,47.55467,-122.24927,30,NA,NA,3,4,0,True,False,90,15,2024-02-10,,eric,garden
121,47.5546,-122.24948,28,NA,1.5,3,2.75,0,True,False,70,15,2024-02-10,,eric,garden
122,47.55476,-122.24923,14,1.5,1.5,3,2,0,True,False,80,15,2024-02-10,,eric,garden
123,47.55459,-122.2495,12,0,1.5,1.5,1,0,False,False,90,15,2024-02-10,,eric,garden
124,47.55467,-122.24949,33,NA,1,1.5,1.25,0,True,False,70,15,2024-02-10,,eric,garden
125,47.55465,-122.24947,29,NA,NA,1.25,1.25,0,True,False,70,10,2024-02-10,,eric,garden
126,47.5545395,-122.2486147,26,0,0,0,0,0,False,False,70,5,2024-02-10,snag;,eric,none
127,47.5545195,-122.2486147,32,0,0,0,0,0,False,False,70,5,2024-02-10,60ft snag;,eric,none
128,47.5543168,-122.2485299,22,0,0,1.25,0.42,0,False,False,70,5,2024-02-10,,eric,none
1000,47.5534649,-122.248885,3,1,2,3,2,0,False,False,90,15,2024-02-10,,muwei,none
1001,47.5535355,-122.2487502,24,NA,2.5,2.5,3,0,True,False,120,15,2024-02-10,grows on root of a doug fir; ivy to be removed,muwei,none
1002,47.5533,-122.2481038,4,1.5,1,2,1.5,0,False,False,270,20,2024-02-10,,muwei,none
1003,47.553134,-122.2480394,17,0.5,1,2.5,1.67,0,False,False,30,20,2024-02-10,,muwei,none
1004,47.5532714,-122.2480793,4,0,0,0,0,0,False,False,30,15,2024-02-10,two trunks from same origin; base fused together,muwei,none
1005,47.5533271,-122.2478697,3,0,0,0,0,0,False,False,NA,0,2024-02-10,,muwei,none
1100,47.5526896,-122.2519574,6,0,0,0,0,0,False,False,0,5,2024-02-20,,muwei,none
1101,47.5531334,-122.2511518,23,0,0,0,0,3,True,False,270,5,2024-02-20,,muwei,none
2001,47.56019,-122.251801,30,NA,0,1,0.5,0,False,False,280,10,2024-01-20,,nate,graveyard
2002,47.560123,-122.251439,25,NA,1,2,1.5,0,False,False,295,5,2024-01-20,,nate,graveyard
2003,47.560077,-122.251421,28,0,0,1,0.33,0,False,False,300,10,2024-01-20,woodpecker damage on trunk,nate,graveyard
2004,47.560082,-122.251506,27,0,0,0,0,0,False,False,260,10,2024-01-20,8 foot snag,nate,graveyard
2005,47.559895,-122.251352,8,0,0,0,0,0,False,False,300,15,2024-01-20,very recent fall;few needles;lots of moss;woodpecker damage,nate,graveyard
2006,47.559777,-122.251322,7,0,0,2,0.67,0,False,False,300,10,2024-01-20,,nate,graveyard
2007,47.55982,-122.25123,9,1,1.5,2,1.5,0,False,False,275,5,2024-01-20,,nate,graveyard
2008,47.55959,-122.25143,28,0,1,3,1.67,0,False,False,320,10,2024-01-20,low bottom score may be due to self-pruning after canopy breakthrough,nate,graveyard
2009,47.5595838,-122.2512926,19,NA,1.5,3,2.75,0,False,False,320,10,2024-01-20,possible self-pruing on south side,nate,graveyard
2010,47.5595602,-122.2513868,7,0,0,0,0,0,False,False,315,5,2024-01-20,,nate,graveyard
2011,47.5596,-122.25137,27,NA,1,2.5,2.25,0,False,False,290,5,2024-01-20,,nate,graveyard
2012,47.5596003,-122.2514656,19,NA,0,2,1,0,False,False,270,15,2024-02-13,wp0;no stump;canopy yes;,muwei,graveyard
2013,47.5596829,-122.2515424,23,NA,2,3,3,0,False,False,330,15,2024-02-13,wp0;no stump;canopy yes,muwei,graveyard
2014,47.5598111,-122.2516882,30,0,0,0,0,1,False,False,270,10,2024-02-13,wp1;stump no;canopy tree,muwei,graveyard
2015,47.5599455,-122.251651,45,0,1.5,2.5,1.67,0,False,False,270,20,2024-02-13,wp0;stump no;canopy tree;broken 40 feet above the ground,muwei,graveyard
2016,47.5599012,-122.2514874,30,0,0,0,0,4,False,False,300,15,2024-02-13,wp4;stump no;canopy tree;40 ft snag,muwei,graveyard
2017,47.5597933,-122.2510421,3,0,0,0,0,0,False,False,300,15,2024-02-17,,muwei,graveyard
2018,47.55949,-122.25071,14,0,0,1.5,0.5,0,False,False,30,5,2024-02-17,,eric,none
2019,47.55949,-122.25068,3.5,1,2,2,1.67,0,False,False,30,5,2024-02-17,,eric,none
2020,47.55938,-122.25032,0.5,3,3,3,3,0,False,True,30,5,2024-02-17,one of 3 young trees growing out of a log w/in 5 ft,eric,garden
2021,47.55933,-122.25032,1,3,3,3,3,0,False,True,30,5,2024-02-17,one of 3 young trees growing out of a log w/in 5 ft,eric,garden
