id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,comments,observer
1,47.560123,-122.252269,36,NA,0,0,-1,-1,2024-01-18,snag; heavy woodpecker damage; yellow and brown moss up high,muwei
2,47.560078,-122.251997,22,NA,2,3,-1,-1,2024-01-18,middle section has only a few good branches,muwei
3,47.560222,-122.251542,30,NA,0,1,-1,-1,2024-01-18,,muwei
4,47.560238,-122.251492,27,1,1,2,300,10,2024-01-20,,muwei
5,47.560243,-122.251862,25,NA,0,0,250,15,2024-01-20,40 foot snag; NW of trail junction; surrounded by salal; evidence of woodpeckers,eric
6,47.560185,-122.251651,31,NA,0,2,275,20,2024-01-20,,nate
7,47.560467,-122.252022,31,NA,0,1,300,10,2024-01-20,,muwei
2001,47.560190,-122.251801,30,NA,0,1,280,10,2024-01-20,,nate
8,47.560378,-122.252334,30,NA,0,0,NA,0,2024-01-20,,muwei
2002,47.560123,-122.251439,25,NA,1,2,295,5,2024-01-20,,nate
2003,47.560077,-122.251421,28,0,0,1,300,10,2024-01-20,woodpecker damage on trunk,nate
9,47.560608,-122.252472,23,0,0,0,300,5,2024-01-20,,muwei
2004,47.560082,-122.251506,27,0,0,0,260,10,2024-01-20,8 foot snag,nate
2005,47.559895,-122.251352,8,0,0,0,300,15,2024-01-20,very recent fall;few needles;lots of moss;woodpecker damage,nate
2006,47.559777,-122.251322,7,0,0,2,300,10,2024-01-20,,nate
2007,47.559765,-122.251321,9,1,1.5,2,275,5,2024-01-20,,nate
10,47.559978,-122.252067,31,0,2,3,300,15,2024-01-20,,muwei
2008,47.559593,-122.251197,28,0,1,3,320,10,2024-01-20,low bottom score may be due to self-pruning after canopy breakthrough,nate
2009,47.559647,-122.251397,19,2,2.5,3,320,10,2024-01-20,possible self-pruing on south side,nate
11,47.559773,-122.252059,30,NA,0,0,300,12,2024-01-20,many small branches and cones; no needles; probably died last year,muwei
2010,47.559513,-122.251344,7,0,0,0,315,5,2024-01-20,,nate
2011,47.559422,-122.251409,27,NA,1,2.5,290,5,2024-01-20,,nate
12,47.560333,-122.251901,22,0,0,0,270,25,2024-01-23,8 foot snag,muwei
13,47.560467,-122.251817,32,NA,0,NA,270,25,2024-01-23,30 foot snag;recently died, muwei
14,47.560448,-122.251568,29,NA,0,1.5,NA,0,2024-01-23,,paul
15,47.560488,-122.251607,36,0,0,2.5,60,15,2024-01-23,lower branches all died very recently,muwei
16,47.560403,-122.251734,25,NA,NA,1.5,300,5,2024-01-23,,muwei
17,47.560188,-122.251562,27,NA,0,2,300,5,2024-01-23,,muwei
18,47.560375,-122.251474,13,NA,0,0,300,5,2024-01-23,recently fallen tree - hollow near base,muwei
19,47.560250,-122.251192,21,NA,NA,0,300,5,2024-01-23,50 foot snag,muwei
20,47.560494,-122.251414,5,0,0,0,300,10,2024-01-23,three small trees close together,muwei
21,47.560498,-122.251418,5,0,0,0,300,10,2024-01-23,three small trees close together,muwei
22,47.560493,-122.251419,5,NA,0,0,300,10,2024-01-23,three small trees close together,muwei
23,47.560642,-122.251534,2.5,0,0,0,NA,0,2024-01-23,10 feet tall; pair of trees touching at base,muwei
24,47.560640,-122.251532,1.5,0,0,3,NA,0,2024-01-23,7 feet tall; pair of trees touching at base,muwei
25,47.559663,-122.252157,6,2.5,1,3,360,10,2024-01-23, two large healthy branches protrude 6 feet from the ground (hard to decide if that’s the bottom or the middle part) but other branches in the middle part are all dead,muwei
26,47.559535,-122.252431,29,NA,2,3,270,10,2024-01-23,,muwei
27,47.559587,-122.252481,9,NA,1,0,360,5,2024-01-23,only 1 living branch about 20 feet high halfway up; crown dead, muwei
28,47.560082,-122.252524,34,0.5,1.24,2,290,5,2024-01-28,,eric
29,47.559895,-122.252509,25,NA,NA,0,320,5,2024-01-28,snag 14 feet tall,eric
30,47.559737,-122.252634,30,1.5,3,3,340,10,2024-01-28,lichen and moss near the bottom; moss and needles adjacent on the same branch, eric
31,47.559842,-122.252709,5,0,0.5,2,340,10,2024-01-28,top is sparse but looks healthy, eric

