id	gpsID	lat	lon	height	dbh	firstDead	firstLive	dmr1	dmr2	dmr3	date	observer	notes
hemlock.001	140	47.558333	-122.250825	45	10.5	11	21	2	1	0	2021-07-05	pshannon	
hemlock.002	144	47.55855	-122.25139	31	10	12	16	2	0	0	2021-07-14	all	
hemlock.003	145	47.558316	-122.250828	121	35	47	52	2	1	0	2021-07-14	all	
hemlock.004	146	47.55785	-122.25077	42	8	8	20	2	2	1	2021-07-14	all	
hemlock.005	147	47.557763	-122.250862	70	12	NA	NA	2	2	2	2021-07-14	all	
hemlock.006	148	47.557790	-122.250823	104	27	11	39	2	1	0	2021-07-14	all	
hemlock.007	149	47.55788	-122.25083	123	22	10	NA	2	1	0	2021-07-14	all	
hemlock.008	150	47.557862	-122.250839	123	31	NA	NA	2	1	0	2021-07-14	all	
hemlock.009	151	47.557847	-122.250935	31	6	NA	NA	2	1	0	2021-07-14	all	
hemlock.010	152	47.55812	-122.25134	31	4	NA	NA	2	1	0	2021-07-14	all	
# 11: different from 14
# hemlock.011	153	47.55804	-122.25145	31	5	NA	NA	2	1	0	2021-07-14	all	
# 12: different from 15?
# hemlock.012	154	47.55792	-122.25169	86	32	13	40	2	2	1	2021-07-14	all	
# 13: needs measurement
# hemlock.013	155	47.55794	-122.25179	0	0	0	0	0	0	0	2021-07-15	all	
hemlock.014	153	47.55804	-122.25145	74	15	9	32	2	2	1	2021-07-15	all	left, smaller of pair
hemlock.015	154	47.55792	-122.25169	78	19	6	24	2	1	0	2021-07-15	all	left, larger of pair
hemlock.016	162	47.55784	-122.25197	13	3	3	3	0	0	0	2021-07-15	all	southernmioe of 3 small trees stradling or in old DF stump
hemlock.017	162	47.55786	-122.25196	34	5	4	4	0	0	0	2021-07-15	all	center of 3 small trees (also  16 and 18)
hemlock.018	162	47.55788	-122.25195	17	3	4	4	0	0	0	2021-07-15	all	northeast of the 3 small trees
hemlock.019	156	47.55796	-122.25182	10	2	3	4	1	0	0	2021-07-15	all	small tree just north of 7/15 southernmost rttree, shows disease
hemlock.025	161	47.55797	-122.25140	13	2	2	4	0	0	0	2021-07-19	all	
hemlock.026	163	47.55770	-122.25167	131	46	NA	35	1	2	2	2021-07-19	pshannon	
hemlock.027	164	47.55772	-122.25148	86	10	7	12	1	0	0	2021-07-19	all	
hemlock.028	164	47.55770	-122.25150	70	10	3	12	1	0	0	2021-07-19	all	
hemlock.029	164	47.55765	-122.25153	48	18	NA	NA	2	2	2	2021-07-19	all	snag
hemlock.030	166	47.55689	-122.25172	49	6	5	8	1	0	0	2021-07-10	all	group of 4
hemlock.031	166	47.55688	-122.25171	64	8	3	10	1	0	0	2021-07-10	all	group of 4
hemlock.032	166	47.55689	-122.25170	75	8	4	10	1	0	0	2021-07-10	all	group of 4
hemlock.033	166	47.55690	-122.25171	73	8	3	14	1	0	0	2021-07-10	all	group of 4
hemlock.035	167	47.55674	-122.25143	36	6	5	9	0	0	0	2021-07-22	all	35-37 in a triangle, see sheet 37
hemlock.036	167	47.55674	-122.25143	94	29	6	49	2	2	1	2021-07-22	all	35 w, 37 e, 36 s
hemlock.037	167	47.55674	-122.25143	100	13	9	62	2	1	0	2021-07-22	all	
hemlock.038	168	47.55690	-122.25131	115	36	8	69	2	2	1	2021-07-22	all	
hemlock.039	169	47.55696	-122.25105	123	20	10	41	2	1	0	2021-07-22	all	
hemlock.040	169	47.55696	-122.25105	113	14	7	28	1	1	0	2021-07-22	all	remeasure diameter, seems too small
hemlock.041	170	47.557048	-122.250969	20	8	6	12	2	2	1	2021-07-22	all	
hemlock.042	170	47.557053	-122.250983	125	23	10	50	2	2	1	2021-07-22	all	
hemlock.043	171	47.557215	-122.250998	101	27	9	22	2	2	1	2021-07-22	all	
hemlock.044	171	47.557209	-122.250989	6	1	NA	NA	2	2	2	2021-07-22	all	little snag, 44 is west of 43
hemlock.045	171	47.557199	-122.250986	7	1	NA	NA	2	2	2	2021-07-22	all	little snag, 44 is west of 43
hemlock.046	172	47.55697	-122.25134	129	29	12	97	1	1	0	2021-07-22	all	
