"Taxon name","Date observed","Description","Place name","Latitude / y coord / northing","Longitude / x coord / easting","Tags","Geoprivacy","Estimated Height of Tree (ft)","DBH (inches)","DMR.1","DMR.2","DMR.3"
"Tsuga heterophylla","2021-07-05","hemlock.001, GPS 140","Seward Park, Seattle",47.558333,-122.250825,"","open",45,10.5,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.002, GPS 144","Seward Park, Seattle",47.55855,-122.25139,"","open",31,10,2,0,0
"Tsuga heterophylla","2021-07-14","hemlock.003, GPS 145","Seward Park, Seattle",47.558316,-122.250828,"","open",121,35,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.004, GPS 146","Seward Park, Seattle",47.55785,-122.25077,"","open",42,8,2,2,1
"Tsuga heterophylla","2021-07-14","hemlock.005, GPS 147","Seward Park, Seattle",47.557763,-122.250862,"","open",70,12,2,2,2
"Tsuga heterophylla","2021-07-14","hemlock.006, GPS 148","Seward Park, Seattle",47.55779,-122.250823,"","open",104,27,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.007, GPS 149","Seward Park, Seattle",47.55788,-122.25083,"","open",123,22,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.008, GPS 150","Seward Park, Seattle",47.557862,-122.250839,"","open",123,31,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.009, GPS 151","Seward Park, Seattle",47.557847,-122.250935,"","open",31,6,2,1,0
"Tsuga heterophylla","2021-07-14","hemlock.010, GPS 152","Seward Park, Seattle",47.55812,-122.25134,"","open",31,4,2,1,0
"Tsuga heterophylla","2021-07-15","hemlock.014, GPS 153","Seward Park, Seattle",47.55804,-122.25145,"","open",74,15,2,2,1
"Tsuga heterophylla","2021-07-15","hemlock.015, GPS 154","Seward Park, Seattle",47.55792,-122.25169,"","open",78,19,2,1,0
"Tsuga heterophylla","2021-07-15","hemlock.016, GPS 162","Seward Park, Seattle",47.55784,-122.25197,"","open",13,3,0,0,0
"Tsuga heterophylla","2021-07-15","hemlock.017, GPS 162","Seward Park, Seattle",47.55786,-122.25196,"","open",34,5,0,0,0
"Tsuga heterophylla","2021-07-15","hemlock.018, GPS 162","Seward Park, Seattle",47.55788,-122.25195,"","open",17,3,0,0,0
"Tsuga heterophylla","2021-07-15","hemlock.019, GPS 156","Seward Park, Seattle",47.55796,-122.25182,"","open",10,2,1,0,0
"Tsuga heterophylla","2021-07-19","hemlock.025, GPS 161","Seward Park, Seattle",47.55797,-122.2514,"","open",13,2,0,0,0
"Tsuga heterophylla","2021-07-19","hemlock.026, GPS 163","Seward Park, Seattle",47.5577,-122.25167,"","open",131,46,1,2,2
"Tsuga heterophylla","2021-07-19","hemlock.027, GPS 164","Seward Park, Seattle",47.55772,-122.25148,"","open",86,10,1,0,0
"Tsuga heterophylla","2021-07-19","hemlock.028, GPS 164","Seward Park, Seattle",47.5577,-122.2515,"","open",70,10,1,0,0
"Tsuga heterophylla","2021-07-19","hemlock.029, GPS 164","Seward Park, Seattle",47.55765,-122.25153,"","open",48,18,2,2,2
"Tsuga heterophylla","2021-07-10","hemlock.030, GPS 166","Seward Park, Seattle",47.55689,-122.25172,"","open",49,6,1,0,0
"Tsuga heterophylla","2021-07-10","hemlock.031, GPS 166","Seward Park, Seattle",47.55688,-122.25171,"","open",64,8,1,0,0
"Tsuga heterophylla","2021-07-10","hemlock.032, GPS 166","Seward Park, Seattle",47.55689,-122.2517,"","open",75,8,1,0,0
"Tsuga heterophylla","2021-07-10","hemlock.033, GPS 166","Seward Park, Seattle",47.5569,-122.25171,"","open",73,8,1,0,0
"Tsuga heterophylla","2021-07-22","hemlock.035, GPS 167","Seward Park, Seattle",47.55674,-122.25144,"","open",36,6,0,0,0
"Tsuga heterophylla","2021-07-22","hemlock.036, GPS 167","Seward Park, Seattle",47.55673,-122.25143,"","open",94,29,2,2,1
"Tsuga heterophylla","2021-07-22","hemlock.037, GPS 167","Seward Park, Seattle",47.556751,-122.251452,"","open",100,13,2,1,0
"Tsuga heterophylla","2021-07-22","hemlock.038, GPS 168","Seward Park, Seattle",47.556871,-122.251312,"","open",115,36,2,2,1
"Tsuga heterophylla","2021-07-22","hemlock.039, GPS 169","Seward Park, Seattle",47.55695,-122.25104,"","open",123,20,2,1,0
"Tsuga heterophylla","2021-07-22","hemlock.040, GPS 169","Seward Park, Seattle",47.55697,-122.25106,"","open",113,14,1,1,0
"Tsuga heterophylla","2021-07-22","hemlock.041, GPS 170","Seward Park, Seattle",47.557048,-122.250969,"","open",20,8,2,2,1
"Tsuga heterophylla","2021-07-22","hemlock.042, GPS 170","Seward Park, Seattle",47.557053,-122.250983,"","open",125,23,2,2,1
"Tsuga heterophylla","2021-07-22","hemlock.043, GPS 171","Seward Park, Seattle",47.557215,-122.250998,"","open",101,27,2,2,1
"Tsuga heterophylla","2021-07-22","hemlock.044, GPS 171","Seward Park, Seattle",47.557209,-122.250989,"","open",6,1,2,2,2
"Tsuga heterophylla","2021-07-22","hemlock.045, GPS 171","Seward Park, Seattle",47.557199,-122.250986,"","open",7,1,2,2,2
