species	date	lat	lon	distance	direction	dbh (feet)	status	height	low	mid	high
hemlock	2023-08-01	47.553842	122.250152	37ft	258° W	~2.5ft	Diseased	n/a	2	2	2
Grand fir	2023-08-01	47.553108	122.250461	12ft	100°E	~1.3ft	Diseased	n/a	0	1	3
alder	2023-08-01	47.55302	122.25066	11ft	274°W	~2ft	dead	n/a	0	0	0
Doug. Fir	2023-08-01	47.55328	122.250257	15ft	297°NW	4ft	healthy	n/a	0	1	3
cedar	2023-08-01	47.553237	122.25047	47ft	288°W	3ft	diseased	n/a	0	1	2
Ceder 	2023-08-01	47.55317	122.250401	40ft	275°W	4ft	diseased	N/a	0	1	3
Cedar	2023-08-01	47.553563	122.250147	73ft	90°E	3ft	Snag	n/a	0	0	0
Cherry	2023-08-01	47.553715	122.250079	16ft	268°W	~9"	Diseased	N/a	1	1	0
Maple	2023-08-01	47.554138	122.250006	17ft	120SE	3ft	Healthy	n/a	3	3	3
Doug. Fir	2023-08-01	47.553952	122.250201	11ft	260°W	6ft	Snag	N/a	0	0	0
Madrone	2023-08-01	47.55572	122.250734	17ft	214SW	2ft	Diseased	n/a	0	0	3
Hemlock	2023-08-01	47.553842	122.250152	37ft	258°W	6ft	snag	n/a	0	0	0
Yue	2023-08-01	47.553142	122.250434	29ft	107°E	~6"	diseased	n/a	0	0	2
Hemlock	2023-08-01	47.553138	122.250307	35ft	97°E	2.5ft	Diseased	N/a	0	2	2
Madrone	2023-08-01	47.555948	122.250932	69ft	198°S	2ft	Dead	N/a	0	0	0
Madrone	2023-08-01	47.55581	122.251012	41ft	228°SW	3.5ft	Healthy*	n/a	1	3	3
Madrone	2023-08-01	47.55591	122.250911	68ft	251°	2.5ft	Healthy*	N/A	0	1	3
Doug fir	2023-08-01	47.554988	122.250081	46ft	47° NE	3ft	Stag	N/a	0	0	0
Fig leaf maple	2023-08-01	47.554907	122.250291	21ft	227°SW	8"	Dead	N/a	1	0	0
Madrone	2023-08-01	47.555977	122.250961	28ft	55°NE	15"	Dead	N/A	0	0	0
Fig Leaf Maple	2023-08-01	47.554757	122.250062	11ft	204°SW	5"	diseased		1	0	0
Hemlock	2023-08-01	47.554177	122.250074	15	236°SW	10"	Dead		0	0	0
		47.555945	47.251059	36ft	237°SW		Diseased	N/A	1	2	1
hemlock	2023-08-01	47.553475	122.250196	42ft	108°E	10"	diseased		0	1	3
maple	2023-08-01	47.558682	122.251321	26ft	353°N	0.5ft	diseased	~40ft	0	1	2
hemlock	2023-08-01	47.558407	122.251079	11ft	170°S	1ft	diseased	70ft	0	1	1
maple	2023-08-01	47.55824	122.250809	20ft	38°NE	0.25ft	dead	12ft	0	0	0
hemlock	2023-08-01	47.55824	122.250809	27ft	71°E	2.5ft	stump	2ft	0	0	0
alder	2023-08-01	47.558052	122.250381	47ft	163°S	2ft	dead	60ft	0	0	0
doug fir.	2023-08-01	47.558208	122.250049	26ft	100°E	5ft	stump	4.5ft	0	0	1
alder	2023-08-01	47.55826	122.250057	8ft	92°E	1.5ft	stump	6ft	0	0	0
hemlock	2023-08-01	47.558277	122.249882	49ft	74°E	2ft	diseased	100ft	0	0	1
ceader	2023-08-01	47.558467	122.249907	14ft	259°W	2.5ft	dead	15ft	0	0	0
maple	2023-08-01	47.558765	122.249874	15ft	68°E	5ft	diseased	150ft	0	1	3
hemlock	2023-08-01	47.558905	122.249801	13ft	67°E	5"	diseased	25ft	0	0	2
hemlock	2023-08-01	47.559575	122.250066	38ft	35°NE	0.5ft	diseased	80ft	0	1	2
