species	date	lat	lon	distance	direction	dbh	status	low	mid	high
hemlock	2023-08-01	47.553842	-122.250152	37	258	2	diseased	2	2	2
grandFir	2023-08-01	47.553108	-122.250461	12	100	1	diseased	0	1	3
alder	2023-08-01	47.55302	-122.25066	11	274	2	dead	0	0	0
cedar	2023-08-01	47.553237	-122.25047	47	288	3	diseased	0	1	2
cedar	2023-08-01	47.55317	-122.250401	40	275	4	diseased	0	1	3
cedar	2023-08-01	47.553563	-122.250147	73	90	3	snag	0	0	0
cherry	2023-08-01	47.553715	-122.250079	16	268	1	diseased	1	1	0
dougFir	2023-08-01	47.553952	-122.250201	11	260	6	snag	0	0	0
madrone	2023-08-01	47.55572	-122.250734	17	214	2	diseased	0	0	3
hemlock	2023-08-01	47.553842	-122.250152	37	258	6	snag	0	0	0
yew	2023-08-01	47.553142	-122.250434	29	107	0.5	diseased	0	0	2
hemlock	2023-08-01	47.553138	-122.250307	35	97	2	diseased	0	2	2
madrone	2023-08-01	47.555948	-122.250932	69	198	2	dead	0	0	0
dougFir	2023-08-01	47.554988	-122.250081	46	47	3	snag	0	0	0
maple	2023-08-01	47.554907	-122.250291	21	227	1	dead	1	0	0
madrone	2023-08-01	47.555977	-122.250961	28	55	1	dead	0	0	0
maple	2023-08-01	47.554757	-122.250062	11	204	1	diseased	1	0	0
hemlock	2023-08-01	47.554177	-122.250074	15	236	1	dead	0	0	0
hemlock	2023-08-01	47.553475	-122.250196	42	108	1	diseased	0	1	3
maple	2023-08-01	47.558682	-122.251321	26	353	0.5	diseased	0	1	2
hemlock	2023-08-01	47.558407	-122.251079	11	170	1	diseased	0	1	1
maple	2023-08-01	47.55824	-122.250809	20	38	0.25	dead	0	0	0
hemlock	2023-08-01	47.55824	-122.250809	27	71	2.5	stump	0	0	0
alder	2023-08-01	47.558052	-122.250381	47	163	2	dead	0	0	0
dougFir	2023-08-01	47.558208	-122.250049	26	100	5	stump	0	0	1
alder	2023-08-01	47.55826	-122.250057	8	92	1.5	stump	0	0	0
hemlock	2023-08-01	47.558277	-122.249882	49	74	2	diseased	0	0	1
cedar	2023-08-01	47.558467	-122.249907	14	259	2.5	dead	0	0	0
maple	2023-08-01	47.558765	-122.249874	15	68	5	diseased	0	1	3
hemlock	2023-08-01	47.558905	-122.249801	13	67	0.5	diseased	0	0	2
hemlock	2023-08-01	47.559575	-122.250066	38	35	0.5	diseased	0	1	2
hemlock	2023-08-01	47.558905	-122.249801	13	67	0.42	diseased	0	0	2
hemlock	2023-08-01	47.559575	-122.250066	38	35	0.5	diseased	0	1	2
hemlock	2023-08-02	47.558861	-122.249768	13	90	6	diseased	0	1	2
cedar	2023-08-02	47.559378	-122.249966	20	84	3	diseased	1	2	3
hemlock	2023-08-02	47.55934	-122.249866	19	263	0.25	diseased	1	2	2
dougFir	2023-08-02	47.3326	-122.157	35	245	0.67	diseased	0	1	2
cedar	2023-08-02	47.559612	-122.250022	9	NA	3.5	diseased	2	2	2
dougFir	2023-08-02	47.560313	-122.250376	50	68	2	snag	0	0	0
hemlock	2023-08-02	47.3327	-122.157	26	69	1.5	diseased	1	2	3
cedar	2023-08-01	47.56063	-122.250511	14	252	2	diseased	1	0	2
dougFir	2023-08-02	47.56075	-122.250594	9	NA	5	snag	0	0	0
cottonwood	2023-08-02	47.3327	-122.157	30	236	2.5	dead	0	0	0
madrone	2023-08-02	47.3329	-122.158	52	83	2	diseased	0	1	2
hemlock	2023-08-02	47.555083	-122.2512	8	286	2.5	diseased	0	1	2
maple	2023-08-02	47.555137	-125.251079	63	70	2	dead	0	0	0
hemlock	2023-08-02	47.555102	-122.251201	52	306	1	dead	0	0	0
cedar	2023-08-02	47.55487	-122.252256	8	201	2	diseased	1	3	3
dougFir	2023-08-02	47.5561	-122.251477	11	110	2	diseased	0	1	3
cedar	2023-08-02	47.555055	-122.252764	6	29	1.5	diseased	3	3	3
hemlock		47.55288	-122.252939	4	236	1	snag	0	0	0
hemlock		47.555428	-122.252756	20	30	1	snag	0	0	0
cedar	2023-08-02	47.55549	-122.25	44	334	3.5	diseased	1	3	3
dougFir	2023-08-02	47.555252	-122.249986	11	140	1.5	diseased	1	2	3
dougFir		47.555492	-122.253076	5	20	4.5	snag	0	0	0
dougFir		47.5555482	-122.253042	9	236	3	diseased	1	3	3
maple		47.55553	-122.253129	100	348	2.5	snag	0	0	0
dougFir		47.555502	-122.253087	95	332	2	dead	0	0	0
dougFir		47.55556	-122.253212	41	333	2.5	snag	0	0	0
maple		47.555567	-122.253269	17	249	1	diseased	0	0	3
cedar		47.5555878	-122.253266	94	200	3	diseased	2	2	3
dougFir		47.555535	-122.253259	77	205	1	diseased	0	1	2
cedar		47.55558	-122.253392	46	202	2	diseased	0	1	2
maple		47.555755	-122.253432	34	220	1	diseased	1	1	3
madrone		47.555742	-122.253412	59	238	1.5	diseased	0	0	3
maple		47.555782	-122.253481	79	285	1.5	diseased	0	2	3
cedar		47.55568	-122.253407	62	281	3	diseased	2	3	3
dougFir		47.555635	-122.253361	160	268	4	diseased	0	1	2
maple		47.555655	-122.253484	85	184	0.5	diseased	0	1	2
cedar		47.555638	-122.253404	5	51	1.5	diseased	1	0.3	3
dougFir	2023-08-02	47.555298	-122.790034	18	150	1.5	diseased	1	3	3
cedar	2023-08-02	47.55532	-122.249937	25	122	4	diseased	0	1	2
dougFir	2023-08-02	47.555425	-122.249719	6	127	0.5	diseased	0	1	2
dougFir	2023-08-02	47.555313	-122.249661	5	133	1	diseased	1	0	3
dougFir	2023-08-02	47.555328	-122.249731	5	145	0.5	dead	0	1	0
cedar	2023-08-02	47.555473	-122.249581	5	350	4	diseased	2	2	3
cedar	2023-08-02	47.555518	-122.249672	39	180	4	diseased	0	0	3
maple	2023-08-02	47.555438	-122.249717	41	189	2	snag	0	0	0
dougFir	2023-08-02	47.555463	-122.249616	38	141	0.33	dead	0	0	0
dougFir	2023-08-02	47.555463	-122.249559	48	137	0.25	dead	0	0	0
cedar	2023-08-02	47.55513	-122.249648	68	143	2.2	diseased	0	2	3
cedar	2023-08-02	47.555483	-122.249502	51	116	2.5	diseased	0	1	3
dougFir	2023-08-02	47.555555	-122.249522	124	358	1.7	diseased	1	1	3
hemlock	2023-08-02	47.555512	-122.249477	10	16	1	diseased	1	1	2
cedar	2023-08-02	47.555455	-122.249276	7	12	3.5	snag	0	0	0
cedar	2023-08-02	47.555447	-122.249179	70	106	3.5	diseased	1	3	2
cedar	2023-08-02	47.555398	-122.249067	73	145	3.5	diseased	0	1	3
hemlock	2023-08-02	47.555448	-122.249122	26	139	0.67	snag	0	0	0
cedar	2023-08-02	47.555827	-122.249016	11	339	4	snag	0	0	0
dougFir	2023-08-02	47.55549	-122.249059	19	140	0.5	dead	0	1	3
madrone		47.55566	-122.254474	56	324	1	diseased	0	1	2
maple		47.555802	-122.253476	51	328	1.5	dead	0	0	0
cedar	2023-08-02	47.555575	-122.248592	58	30	1.5	snag	0	0	0
hemlock	2023-08-02	47.555685	-122.248416	45	334	1	dead	0	0	0
cedar	2023-08-02	47.555563	-122.248507	49	135	3	diseased	1	1	3
cedar	2023-08-02	47.555517	-122.248589	85	130	2	diseased	0	0	2
hemlock	2023-08-02	47.55555	-122.214481	11	190	1.5	snag	0	0	0
dougFir	2023-08-02	47.555703	-122.248976	108	316	1.5	dead	1	2	3
cedar	2023-08-02	47.555583	-122.249084	125	304	1	diseased	0	0	2
hemlock	2023-08-02	47.555608	-122.249122	90	308	2	snag	0	0	0
cedar	2023-08-02	47.555622	-122.248969	30	122	2	snag	0	0	0
cedar	2023-08-02	47.555473	-122.248384	55	123	1.5	snag	0	0	0
cedar	2023-08-02	47.555475	-122.248251	78	116	2.5	snag	0	3	0
dougFir	2023-08-02	47.555477	-122.248257	129	59	2	diseased	1	1	2
dougFir	2023-08-02	47.555512	-122.248227	140	97	2.2	diseased	0	0	2
cedar	2023-08-02	47.555505	-122.248244	71	63	2.7	diseased	1	1	3
dougFir	2023-08-02	47.555598	-122.248199	8	59	1.5	diseased	0	1	3
dougFir	2023-08-02	47.555577	-122.248191	45	88	1	diseased	2	1	1
dougFir	2023-08-02	47.555623	-122.248192	9	76	0.5	diseased	0	1	2
cedar	2023-08-02	47.555573	-122.248277	52	76	2.5	diseased	1	2	2
cedar	2023-08-02	47.555718	-122.248322	41	310	1.25	snag	0	0	0
maple	2023-08-02	47.555728	-122.248181	80	335	1	dead	1	0	0
dougFir	2023-08-02	47.555682	-122.2481169	19	102	1	diseased	1	2	2
dougFir	2023-08-02	47.555608	-122.248131	83	104	1	diseased	2	1	0
dougFir	2023-08-02	47.55515	-122.248102	10	15	1.5	diseased	3	3	3
dougFir	2023-08-02	47.555718	-122.248174	82	110	1	diseased	2	2	1
cedar	2023-08-02	47.555778	-122.247987	31	78	1.5	snag	0	0	0
dougFir	2023-08-02	47.555872	-122.247967	4	350	0.4	dead	1	0	1
cedar	2023-08-02	47.555842	-122.248081	15	70	1.5	diseased	0	0	3
cedar	2023-08-02	47.555542	-122.248089	21	42	2.5	diseased	0	2	3
cedar	2023-08-02	47.555843	-122.248106	21	25	1.5	diseased	0	0	2
maple	2023-08-02	47.55589	-122.248191	36	57	0.7	diseased	0	0	1
dougFir	2023-08-02	47.55592	-122.247601	21	203	0.4	dead	0	0	0
dougFir	2023-08-02	47.555515	-122.248472	6	328	3	dead	0	0	0
